district,facility_count,mean_usage_per_locker,median_usage_per_locker,cv_usage_per_locker,max_min_gap,low_utilization_facilities,middle_utilization_facilities,high_utilization_facilities,top_facility_name,top_facility_usage_per_locker,bottom_facility_name,bottom_facility_usage_per_locker,final_action_label,action_tier,final_evidence_strength,long_term_trend,recent_trend,high_utilization_share_pct,low_utilization_share_pct,facility_dispersion_type,facility_level_implication
강동구,10,8.51,8.87,0.72,15.13,2,5,3,성내1동 주민센터,15.97,구립안말경로당,0.85,현 수준 유지 + 이용감소 대응,3,high,장기 감소,최근 감소,30.0,20.0,시설 간 편차 큼,자치구 일괄 대응보다 고활용 거점 보강과 저활용 시설 점검 병행
성동구,8,6.72,6.34,0.65,15.03,2,4,2,성동구립도서관,15.21,응봉동 공영주차장,0.18,저활용 개선 실험,3,medium,대체로 유지,최근 감소,25.0,25.0,시설 간 편차 큼,자치구 일괄 대응보다 고활용 거점 보강과 저활용 시설 점검 병행
동작구,12,7.59,7.61,0.56,12.08,3,6,3,현대오일뱅크_사당셀프주유소,14.14,사당종합체육관,2.06,저활용 구조 재검토 우선,3,medium,장기 감소,최근 감소,25.0,25.0,시설 간 편차 큼,자치구 일괄 대응보다 고활용 거점 보강과 저활용 시설 점검 병행
마포구,15,7.74,7.5,0.54,16.03,3,8,4,도화동 주민센터,17.27,성산1동주민센터,1.24,활성화 실험 후 추세 재확인,3,high,장기 증가,최근 감소,26.67,20.0,시설 간 편차 큼,자치구 일괄 대응보다 고활용 거점 보강과 저활용 시설 점검 병행
양천구,10,9.93,9.17,0.52,18.35,2,5,3,양천나눔누리센터,22.48,신월5동주민센터,4.13,현 수준 유지 + 이용감소 대응,3,high,장기 감소,최근 감소,30.0,20.0,시설 간 편차 큼,자치구 일괄 대응보다 고활용 거점 보강과 저활용 시설 점검 병행
영등포구,11,8.81,10.05,0.51,13.61,2,6,3,그린케어센터,16.02,다사랑어린이공원(경로당),2.4,입지·운영 재점검 우선,3,high,장기 감소,최근 감소,27.27,18.18,시설 간 편차 큼,자치구 일괄 대응보다 고활용 거점 보강과 저활용 시설 점검 병행
용산구,8,8.2,7.61,0.49,11.43,2,4,2,용산꿈나무종합타운,13.78,보광동주민센터,2.35,최근 반등 가능성 점검,3,high,장기 감소,최근 증가,25.0,25.0,시설 간 편차 중간,자치구 전략 유지하되 시설별 성과 차이 함께 모니터링
서대문구,12,7.11,5.58,0.46,10.59,3,6,3,북아현동 주민센터,14.03,신한은행_연희동점,3.44,저활용 구조 재검토 우선,3,medium,장기 감소,최근 감소,25.0,25.0,시설 간 편차 중간,자치구 전략 유지하되 시설별 성과 차이 함께 모니터링
종로구,5,8.06,7.18,0.45,9.89,1,2,2,종로육아종합지원센터,14.16,숭인제2동주민센터,4.26,저활용 구조 재검토 우선,3,medium,장기 감소,최근 유지,40.0,20.0,시설 간 편차 중간,자치구 전략 유지하되 시설별 성과 차이 함께 모니터링
금천구,6,5.59,5.46,0.38,6.12,1,3,2,금천구청,8.62,시흥4동 주민센터,2.5,입지·운영 재점검 우선,3,medium,장기 감소,최근 감소,33.33,16.67,시설 간 편차 중간,자치구 전략 유지하되 시설별 성과 차이 함께 모니터링
광진구,12,7.79,8.59,0.24,6.28,3,6,3,구의2동주택가 공동주차장,10.49,자양2동주민센터,4.21,저활용 구조 재검토 우선,3,high,장기 감소,최근 감소,25.0,25.0,시설 간 편차 낮음,시설 전반의 저활용 가능성 검토
강북구,6,13.45,12.69,0.42,15.67,1,3,2,수유역1번출구,20.15,번동북부시장 북부마트,4.48,데이터 보강 후 판단,4,limited,대체로 유지,최근 유지,33.33,16.67,시설 간 편차 중간,자치구 전략 유지하되 시설별 성과 차이 함께 모니터링
구로구,5,10.93,11.42,0.32,8.5,1,2,2,서울교통공사대림별관,14.12,구로구민회관,5.62,데이터 보강 후 판단,4,limited,대체로 유지,최근 유지,40.0,20.0,시설 간 편차 중간,자치구 전략 유지하되 시설별 성과 차이 함께 모니터링
중구,2,8.36,8.36,0.04,0.44,0,1,1,장충체육관 후문,8.58,버티 공영주차장,8.14,데이터 보강 후 판단,4,limited,대체로 유지,최근 증가,50.0,0.0,시설 수 적어 해석 주의,시설 수가 적어 개별 시설 중심 추가 확인
